PERIOD,YEAR,STATS_VALUE
December,1863,14.9
January,1864,16.7
February,1864,16.4
March,1864,13.7
April,1864,13.8
May,1864,9.6
June,1864,6.6
July,1864,6.3
August,1864,6
September,1864,10.2
October,1864,11.8
November,1864,13.5
December,1864,16.2
January,1865,17.4
February,1865,17.8
March,1865,15.5
April,1865,12.3
May,1865,8.6
June,1865,6.5
July,1865,5.4
August,1865,6.6
September,1865,9.5
October,1865,10.2
November,1865,13.7
December,1865,15.1
January,1866,16.3
February,1866,15.8
March,1866,13.1
April,1866,11.4
May,1866,8.8
June,1866,7
July,1866,5.9
August,1866,7.6
September,1866,10.5
October,1866,13.1
November,1866,15.2
December,1866,15.5
January,1867,17.1
February,1867,17.9
March,1867,14.9
April,1867,12.7
May,1867,9.2
June,1867,6.7
July,1867,7.7
August,1867,7.2
September,1867,9.6
October,1867,12.4
November,1867,13.9
December,1867,16.6
January,1868,15.8
February,1868,15.3
March,1868,14.6
April,1868,12.6
May,1868,8.8
June,1868,4.9
July,1868,5.3
August,1868,5.5
September,1868,9.1
October,1868,11.5
November,1868,14.4
December,1868,15.8
January,1869,16.5
February,1869,16.3
March,1869,14.5
April,1869,12.3
May,1869,8
June,1869,6.3
July,1869,5
August,1869,7.6
September,1869,10.1
October,1869,11.8
November,1869,13.3
December,1869,16.7
January,1870,17.6
February,1870,17.5
March,1870,13.3
April,1870,10.5
May,1870,8.2
June,1870,7.8
July,1870,5.4
August,1870,6.2
September,1870,9.1
October,1870,12.8
November,1870,15.5
December,1870,13.7
January,1871,17.3
February,1871,14.8
March,1871,14.8
April,1871,11.2
May,1871,8.3
June,1871,5.2
July,1871,6.1
August,1871,7.6
September,1871,8.4
October,1871,11.6
November,1871,12.8
December,1871,15.9
January,1872,18.5
February,1872,16.6
March,1872,14.2
April,1872,12.5
May,1872,9.5
June,1872,6.2
July,1872,6.4
August,1872,6.1
September,1872,9.8
October,1872,11.4
November,1872,14.6
December,1872,18.9
January,1873,16.2
February,1873,15.2
March,1873,14.8
April,1873,10.9
May,1873,10.1
June,1873,7.4
July,1873,5.7
August,1873,7.8
September,1873,8.6
October,1873,12.6
November,1873,13.4
December,1873,17.3
January,1874,18.1
February,1874,16.2
March,1874,14.9
April,1874,11.6
May,1874,7.8
June,1874,5.1
July,1874,5.3
August,1874,7.4
September,1874,8.1
October,1874,11.1
November,1874,14.1
December,1874,15.8
January,1875,17.3
February,1875,16.2
March,1875,14.7
April,1875,12.8
May,1875,8.8
June,1875,6
July,1875,6.1
August,1875,6.3
September,1875,8.8
October,1875,11.2
November,1875,11.6
January,1876,16.7
February,1876,17.2
March,1876,15.4
April,1876,12.4
May,1876,9.6
June,1876,6.6
July,1876,5.2
August,1876,7.2
September,1876,9
October,1876,13
November,1876,14.3
December,1876,15.6
January,1877,17
February,1877,15.9
March,1877,14.1
April,1877,10.5
May,1877,7.5
June,1877,7
July,1877,5.1
August,1877,7.6
September,1877,9.2
October,1877,11.9
November,1877,14.1
December,1877,16.1
January,1878,14.2
February,1878,14.2
March,1878,14.4
April,1878,13.7
May,1878,8
June,1878,6.3
July,1878,6.1
August,1878,6.3
September,1878,11.5
October,1878,12.1
November,1878,14.7
December,1878,17.9
January,1879,16.5
February,1879,15.2
March,1879,15.7
April,1879,11.1
May,1879,10.6
